speaker,P1OutsideGA,NativeSpeaker,NumParentsFromGA,RegisteredParty,GeorgiaPlaces,P1WholeLifeGA,P2_OutsideGA,cultural_conservatism,Vote2020_TEXT,Vote2016_TEXT,economic_conservatism,P2Education,Sexuality,Ethnicity,WhereOutside,GeorgiaWholeLife,Vote2016,P2OutsideGA,Ethnicity_TEXT,RecordedDate,YearOfBirth,ethtext,P2WholeLifeGA,RegisteredParty_TEXT,AfterCollege,FamilyLanguages,Vote2020,P2NativeGeorgian,overall_conservatism,Gender,P1Education,NewsEngagement,Gender_TEXT,HowLongOutside,Sexuality_TEXT
1008,,Yes,One,Democratic,"South Fulton, Clayton county, Fayetteville, Atlanta ",Yes,,0.245,,,0.455,High school graduate,Straight/Heterosexual,Black or African American,,Yes,I was not eligible to vote in the 2016 election.,Alaska,,2024-03-07 12:45:59,2004,African American,No,,Definitely yes,N/A,I was not eligible to vote in the 2020 election.,,0.35,Female,Professional degree,A few times a week,,,
1034,,Yes,Two,Democratic,Augusta ,Yes,,0.06333333333333334,,,0.18166666666666667,4 year degree,Straight/Heterosexual,Black or African American,,Yes,I was not eligible to vote in the 2016 election.,,,2021-09-03 09:53:37,1999,,Yes,,Probably yes,,Democratic/Joe Biden,,0.1225,Female,Professional degree,A few times a week,,,
1095,,Yes,One,Democratic,"Southwest Atlanta, Fulton County",Yes,n/a,0.215,,"I do not remember, but not Trump. ",0.28,n/a,Straight/Heterosexual,Black or African American,,Yes,Other,,,2020-03-06 09:49:19,1989,,n/a,,Might or might not,,Unsure,n/a,0.2475,Female,Doctorate,A few times a month,,,
1313,New Jersey,Yes,Zero,Democratic,Douglas County,No,,0.06333333333333334,,,0.44666666666666666,Professional degree,Prefer not to say,"Black or African American,White",,Yes,I was not eligible to vote in the 2016 election.,"New York, Michigan, Maryland",,2021-02-17 09:55:45,2002,,No,,Might or might not,,Democratic/Joe Biden,,0.255,Male,Professional degree,A few times a month,,,
1708,"Nigeria, Dallas, Texas",Yes,Zero,I am not identified with a political party.,"Lithonia, Georgia",No,n/a,0.4533333333333333,,,0.51,n/a,Other:Pansexual,Black or African American,,Yes,I was not eligible to vote in the 2016 election.,,,2024-03-07 11:44:47,2005,Nigerian,n/a,,Definitely yes,None,I was not eligible to vote in the 2020 election.,n/a,0.4816666666666667,Female,Doctorate,A few times a month,,,Pansexual
2433,,Yes,One,Democratic,"Rockmart,GA ",Yes,,0.25833333333333336,,,0.37833333333333335,High school graduate,Straight/Heterosexual,Black or African American,,Yes,I was not eligible to vote in the 2016 election.,Connecticut and California ,,2021-03-02 10:15:29,2002,,No,,Might or might not,,Democratic/Joe Biden,,0.31833333333333336,Female,High school graduate,A few times a month,,,
3002,South Carolina and Pennsylvania ,Yes,Zero,I am not identified with a political party.,Atlanta and Acworth Ga ,No,,0.21833333333333332,,,0.4216666666666667,4 year degree,Straight/Heterosexual,Black or African American,,Yes,I was not eligible to vote in the 2016 election.,South Carolina and Pennsylvania ,,2020-03-05 15:44:15,1999,,No,,Might or might not,,Democratic/Joe Biden,,0.32,Female,4 year degree,Multiple times a day,,,
3212,cleveland ohio,Yes,One,Democratic,East Atlanta ,No,,0.21666666666666667,,,0.3933333333333333,4 year degree,Straight/Heterosexual,"Black or African American,White",,Yes,I was not eligible to vote in the 2016 election.,williston florida ,,2023-11-26 15:10:44,2002,African American ,No,,Probably not,none ,Democratic/Joe Biden,,0.305,Female,High school graduate,A few times a month,,,
4023,New York and Germany,Yes,Zero,I am not identified with a political party.,"Lithonia, Norcross, Duluth, Stone Mountain, Stockbridge, Atlanta",No,,0.8,,,0.27166666666666667,Some college,Straight/Heterosexual,Black or African American,,Yes,Democratic/Hillary Clinton,Detroit and Alabama,,2020-03-06 11:31:07,1997,,No,,Might or might not,,Democratic/Joe Biden,,0.5118181818181818,Female,Some college,Very rarely or never,,,
4341,"Nigeria, and I think Canada ",Yes,Zero,Democratic,"mainly Alpharetta, a bit in Gwinnett county. All metro-Atlanta",No,,0.28,,,0.385,Professional degree,Bisexual,Black or African American,California,No,I was not eligible to vote in the 2016 election.,"Nigeria, and briefly the UK and Canada",,2021-02-10 09:24:32,2004,,No,,Might or might not,,I was not eligible to vote in the 2020 election.,,0.3325,Female,Professional degree,A few times a month,,4 years,
